"id","type","area","floors","rooms","bathrooms","price","condition","city","district"
34,"duplex",129,2,2,1,1587181,"semi finished","Fayoum","Fayoum El Gedida"
35,"studio",256,1,2,3,6394959,"luxury finished","Port Said","Aldawahi"
36,"studio",80,3,1,3,13944330,"semi finished","Giza","Hadayek October"
37,"villa",198,2,2,3,13099259,"semi finished","South Sinai","Taba"
38,"shop",96,1,1,1,8081595,"fully finished","Dakahlia","El Kurdi"
39,"town house",201,1,2,3,8339990,"not finished","Cairo","Mokattam"
40,"office",268,3,1,3,11592863,"not finished","South Sinai","Taba"
41,"studio",198,2,2,2,11770518,"luxury finished","Luxor","Al ziynia"
42,"apartment",193,3,2,2,6130140,"semi finished","New Valley","Dakhla"
43,"villa",293,3,3,3,10394523,"luxury finished","Beni Suef","Beni Suef El Gedida"
44,"office",186,1,3,2,6636030,"semi finished","South Sinai","Sharm El-Shaikh"
45,"studio",154,1,3,2,2704017,"not finished","Minya","Samalut"
46,"apartment",228,2,1,2,14332967,"not finished","Aswan","Aswan El Gedida"
47,"office",123,2,1,1,11609396,"luxury finished","Sohag","Tama"
48,"duplex",272,1,2,3,10754480,"semi finished","Matrouh","Alamein"
49,"office",236,1,2,3,8256590,"fully finished","Qalyubia","Al Qanater Charity"
50,"shop",137,1,2,3,12348480,"luxury finished","Aswan","Nasr Al Nuba"
379,"villa",264,1,2,1,7344132,"not finished","Dakahlia","Bani Ubaid"
51,"villa",291,1,1,3,6769139,"not finished","Suez","Ain Sokhna"
52,"studio",132,1,3,1,8146416,"not finished","Sharkia","Qenaiat"
53,"duplex",247,1,2,1,8040450,"fully finished","Assiut","El Badari"
54,"shop",289,2,3,3,9206985,"fully finished","Sharkia","Qenaiat"
55,"shop",198,2,1,2,13226740,"semi finished","Gharbia","Basion"
56,"town house",83,2,2,2,13035002,"luxury finished","Beheira","Abu al-Matamir"
57,"studio",198,1,2,2,14716291,"fully finished","Qena","Qena"
58,"studio",185,2,1,1,4868979,"semi finished","Suez","Ataqah"
59,"duplex",234,1,1,1,11597901,"fully finished","Matrouh","El Hamam"
60,"duplex",273,1,3,3,9248232,"fully finished","South Sinai","Nuweiba"
61,"office",216,3,1,2,11306768,"semi finished","Damietta","Meet Abou Ghalib"
62,"duplex",109,2,1,3,5414196,"not finished","Damietta","Azbet Al Burg"
63,"duplex",223,1,3,2,1781217,"luxury finished","Menofia","Tala"
64,"villa",179,3,1,2,2864364,"semi finished","Beheira","Alnoubareya"
65,"villa",230,3,3,2,11176370,"luxury finished","Aswan","Drau"
66,"villa",123,2,3,1,12783025,"luxury finished","Red Sea","Aldahar"
67,"town house",179,3,1,3,11902894,"luxury finished","Menofia","Ashmon"
68,"villa",210,2,2,3,1844683,"fully finished","Menofia","Tala"
69,"town house",258,3,3,1,7534471,"luxury finished","Sohag","Akhmeem"
70,"villa",146,1,2,3,3018959,"luxury finished","Fayoum","Tamiya"
71,"duplex",254,2,1,3,3385538,"luxury finished","Beni Suef","Beni Suef El Gedida"
72,"villa",236,1,3,3,14158250,"not finished","Alexandria","Sidi Gaber"
73,"apartment",161,2,3,1,14823094,"luxury finished","Qena","Abu Tesht"
74,"villa",205,2,1,3,8140115,"not finished","Beheira","Mahmoudiyah"
75,"shop",249,2,2,2,2896292,"fully finished","Matrouh","Marsa Matrouh"
76,"office",81,1,2,3,6518628,"not finished","Assiut","Dayrout"
77,"duplex",289,3,2,1,2747845,"not finished","Suez","Ain Sokhna"
78,"town house",278,3,3,3,9696615,"fully finished","South Sinai","Saint Catherine"
79,"office",288,1,2,1,3223410,"luxury finished","Qena","Deshna"
80,"studio",177,2,3,1,14917746,"fully finished","Gharbia","Qutour"
81,"shop",211,1,3,1,6886484,"luxury finished","Dakahlia","Menia El Nasr"
82,"apartment",179,1,1,2,14808789,"luxury finished","Menofia","Menouf"
83,"town house",153,1,1,3,13364904,"fully finished","Menofia","Shbeen El Koom"
84,"shop",176,2,1,1,5602177,"not finished","Minya","Bani Mazar"
85,"studio",245,2,1,1,13693112,"luxury finished","Assiut","Sahel Selim"
86,"duplex",246,2,1,2,13555875,"fully finished","Kafr El Sheikh","Desouq"
87,"shop",148,1,1,3,7317497,"semi finished","Ismailia","Ismailia"
88,"office",270,1,3,1,4083094,"semi finished","Assiut","Abnoub"
89,"town house",182,3,3,2,5282288,"luxury finished","Port Said","Almanakh"
90,"duplex",262,3,1,3,4236671,"not finished","New Valley","Farafra"
91,"office",125,1,2,2,11685618,"fully finished","Matrouh","Siwa"
92,"town house",251,3,2,2,1875964,"fully finished","Fayoum","Algamaa"
93,"duplex",243,2,2,1,2923656,"not finished","Giza","Hawamdiyah"
94,"duplex",281,1,3,1,9059933,"luxury finished","Damietta","Zarqa"
95,"office",270,1,1,3,2455338,"fully finished","Suez","Faysal"
96,"duplex",188,2,1,1,12939584,"semi finished","Sharkia","san alhajar alqablia"
97,"duplex",92,1,2,1,14031617,"luxury finished","Qena","Abu Tesht"
98,"town house",162,2,1,3,14190822,"luxury finished","Damietta","Azbet Al Burg"
99,"office",175,2,3,2,7535462,"semi finished","Beni Suef","Naser"
100,"duplex",246,1,2,2,13886295,"luxury finished","Fayoum","Fayoum"
1581,"studio",225,3,2,2,8852626,"semi finished","Ismailia","Nefesha"
101,"apartment",146,3,2,1,10679814,"not finished","Cairo","Al Azbakeyah"
102,"villa",148,2,3,2,2329908,"semi finished","Damietta","Kafr Saad"
103,"shop",163,3,3,1,2939566,"fully finished","North Sinai","Rafah"
104,"studio",114,1,3,3,8102114,"fully finished","South Sinai","Ras Sidr"
105,"studio",147,1,3,1,12022252,"luxury finished","Beheira","Wadi Natrun"
106,"office",243,2,1,2,8935714,"not finished","Sharkia","Abu Kabir"
107,"duplex",296,1,1,1,1137441,"fully finished","Qalyubia","Khanka"
108,"studio",200,2,2,1,12836259,"not finished","Port Said","Port Fouad"
109,"studio",260,1,3,1,12038186,"fully finished","Qena","Qena"
110,"town house",126,2,1,1,1709179,"not finished","Red Sea","Marsa Alam"
111,"office",226,2,1,3,12641833,"not finished","South Sinai","Sharm El-Shaikh"
112,"office",100,3,1,2,9669048,"fully finished","Giza","Kerdasa"
113,"shop",186,2,3,3,9064698,"semi finished","Giza","Agouza"
114,"apartment",138,1,3,2,1865551,"not finished","Beni Suef","Alabbaseri"
115,"town house",128,1,1,1,9404441,"not finished","Dakahlia","Belqas"
116,"villa",124,2,2,1,6900067,"luxury finished","Sharkia","Al Ashr Men Ramadan"
117,"town house",102,3,1,3,3789332,"fully finished","New Valley","Mout"
118,"duplex",171,1,2,3,10831043,"fully finished","Port Said","Mubarak"
119,"villa",294,2,1,1,6337712,"fully finished","Minya","El Adwa"
120,"shop",291,2,1,3,7117936,"luxury finished","Sharkia","Al Ashr Men Ramadan"
121,"office",86,2,1,1,1843549,"semi finished","Menofia","Tala"
122,"town house",161,1,1,1,5785351,"luxury finished","Giza","Cheikh Zayed"
123,"villa",166,3,2,1,4279455,"not finished","Red Sea","Aldahar"
124,"villa",130,3,2,3,6314395,"luxury finished","Port Said","Alarab"
125,"town house",230,1,1,1,6273406,"semi finished","Giza","Hadayek Alahram"
126,"duplex",165,3,1,2,1176831,"luxury finished","Ismailia","Abu Sawir"
127,"villa",191,2,1,3,2648648,"luxury finished","Matrouh","Siwa"
128,"office",240,2,1,2,5434996,"not finished","Damietta","alsaru"
129,"villa",248,3,3,3,4016769,"fully finished","New Valley","Paris"
130,"town house",87,1,2,2,4925122,"fully finished","Sharkia","Husseiniya"
131,"shop",135,3,3,2,6173908,"luxury finished","Luxor","Esna"
132,"town house",234,2,3,1,14514334,"luxury finished","North Sinai","Al Hasana"
133,"villa",273,2,2,1,3769840,"not finished","Matrouh","North Coast"
134,"studio",278,2,3,3,11132053,"not finished","Giza","Oaseem"
135,"shop",163,3,2,1,7363205,"luxury finished","Qena","Quos"
136,"duplex",215,1,3,3,14870957,"not finished","Beheira","Badr"
137,"villa",207,1,2,1,12066125,"luxury finished","North Sinai","Arish"
138,"apartment",189,2,3,2,6003120,"fully finished","Assiut","Sahel Selim"
139,"shop",244,3,3,2,3882705,"luxury finished","South Sinai","Nuweiba"
140,"duplex",144,1,3,1,9651347,"semi finished","Gharbia","Al Mahalla Al Kobra"
141,"studio",100,1,2,2,14793546,"not finished","Cairo","Sheraton"
142,"apartment",196,3,3,2,13032735,"fully finished","Aswan","Abo Simbl Al Siyahia"
143,"apartment",180,3,3,3,3150181,"not finished","Qalyubia","Banha"
144,"villa",140,2,1,1,3159441,"fully finished","Sharkia","Kafr Saqr"
145,"studio",218,2,2,3,4907938,"not finished","Sohag","Akhmim El Gedida"
146,"shop",278,1,1,2,8591328,"fully finished","Matrouh","Alamein"
147,"studio",86,3,3,2,4237229,"fully finished","Suez","Faysal"
148,"studio",171,2,3,1,14490348,"semi finished","Aswan","Aswan El Gedida"
149,"office",117,2,1,3,1565825,"semi finished","New Valley","Balat"
150,"apartment",155,2,1,1,5041469,"luxury finished","Sharkia","Deirb Negm"
380,"apartment",290,2,1,1,7285581,"fully finished","Giza","Sixth of October"
151,"villa",165,3,2,3,11447462,"luxury finished","Menofia","Sars El-Layan"
152,"villa",232,2,3,3,14136043,"not finished","Beheira","Abu Homs"
153,"duplex",213,1,3,2,8936183,"fully finished","Beheira","Rahmaniyah"
154,"duplex",267,1,2,2,7870431,"fully finished","Cairo","El darrasa"
155,"town house",250,1,2,3,8605559,"semi finished","Beheira","Itai Baroud"
156,"shop",158,3,3,3,3329558,"not finished","Sharkia","Minya Al Qamh"
157,"office",217,2,1,2,6286442,"fully finished","Port Said","Port Fouad"
158,"duplex",122,2,1,1,12816325,"semi finished","Suez","Faysal"
159,"duplex",194,2,3,2,8038392,"not finished","Damietta","alruwda"
160,"studio",269,2,2,1,13042939,"semi finished","Luxor","Armant"
161,"apartment",232,1,1,1,7814591,"not finished","Port Said","Port Fouad"
162,"apartment",258,3,2,1,9091082,"not finished","Matrouh","Alamein"
163,"apartment",199,1,3,1,5413024,"fully finished","South Sinai","Ras Sidr"
164,"duplex",289,2,1,2,6148820,"fully finished","Ismailia","El Tal El Kabier"
165,"apartment",134,2,2,3,14577144,"not finished","Suez","Suez"
166,"apartment",125,3,3,2,7477387,"luxury finished","Minya","Bani Mazar"
167,"town house",230,3,2,2,1096971,"semi finished","Menofia","Quesna"
168,"shop",86,3,3,3,5607221,"fully finished","Qena","Qena"
169,"villa",225,2,2,1,1956481,"not finished","Assiut","Dayrout"
170,"office",85,3,2,1,9254631,"luxury finished","Aswan","Aswan El Gedida"
171,"duplex",175,2,3,1,12184685,"fully finished","Sohag","Jahina Al Gharbia"
172,"villa",153,1,3,3,11422227,"semi finished","Alexandria","Camp Shizar"
173,"villa",191,2,1,1,7449057,"not finished","Suez","Ataqah"
174,"duplex",162,2,3,3,5434099,"semi finished","North Sinai","Sheikh Zowaid"
175,"villa",261,1,2,3,12289400,"not finished","Beni Suef","Somasta"
176,"villa",180,3,2,2,5182557,"semi finished","Sharkia","Mashtoul El Souq"
177,"office",180,1,3,3,9221527,"not finished","South Sinai","Saint Catherine"
178,"office",129,2,2,3,12282729,"not finished","Dakahlia","El Kurdi"
179,"villa",260,3,3,2,11374145,"semi finished","Red Sea","Hurghada"
180,"apartment",299,3,1,2,5803104,"luxury finished","Matrouh","Alamein"
181,"town house",170,3,3,3,6529332,"fully finished","Qalyubia","Al Qanater Charity"
182,"duplex",272,3,2,1,8712749,"luxury finished","Fayoum","Epschway"
183,"town house",236,1,2,2,10105548,"semi finished","Ismailia","Nefesha"
184,"studio",106,2,2,2,9147449,"luxury finished","Qalyubia","Banha"
185,"villa",240,2,3,3,9454469,"fully finished","Fayoum","Yusuf El Sediaq"
186,"studio",149,2,3,1,4150617,"luxury finished","Alexandria","Elgomrok"
187,"villa",81,1,1,1,11133370,"not finished","Kafr El Sheikh","Qellen"
188,"office",201,2,2,1,8585702,"semi finished","South Sinai","Al Toor"
189,"studio",107,2,2,3,9991805,"fully finished","Dakahlia","Mataria"
190,"studio",158,2,1,2,1148489,"not finished","Sohag","Akhmeem"
191,"office",238,1,3,2,9132840,"luxury finished","Red Sea","Marsa Alam"
192,"apartment",113,1,1,3,10104846,"fully finished","Port Said","Mubarak"
193,"duplex",187,3,1,2,9753053,"luxury finished","Kafr El Sheikh","Kafr El Sheikh Downtown"
194,"office",239,3,3,1,5296915,"not finished","Beni Suef","Beni Suef El Gedida"
195,"office",285,1,1,2,2146919,"semi finished","Suez","Ain Sokhna"
196,"duplex",144,3,3,2,2339991,"luxury finished","Dakahlia","Mahalat Damana"
197,"office",84,2,1,2,10614886,"luxury finished","Luxor","Esna"
198,"town house",194,2,2,2,14409139,"semi finished","Fayoum","Hadqa"
199,"villa",260,2,2,3,7710207,"semi finished","Gharbia","Al Mahalla Al Kobra"
200,"town house",275,3,2,3,5377882,"fully finished","Sharkia","Hehia"
2771,"duplex",209,1,1,1,7252938,"not finished","Sharkia","Al Ashr Men Ramadan"
201,"office",222,3,3,2,1324157,"luxury finished","Suez","Ataqah"
202,"shop",86,1,2,2,7431485,"luxury finished","North Sinai","Al Hasana"
203,"duplex",140,2,3,1,13432678,"semi finished","Red Sea","El Qusiar"
204,"shop",180,3,1,1,12515250,"semi finished","Aswan","Al-Radisiyah"
205,"duplex",218,1,3,3,8476911,"fully finished","Beni Suef","Fashn"
206,"office",240,2,3,2,1072777,"luxury finished","Luxor","New Luxor"
207,"villa",87,3,2,1,13529420,"fully finished","Kafr El Sheikh","Burg Al Burullus"
208,"apartment",222,3,2,3,12156309,"fully finished","Ismailia","Kasasien El Gedida"
209,"office",160,2,3,2,6575931,"luxury finished","Aswan","Al Sibaeia"
210,"apartment",97,3,1,2,11239741,"luxury finished","Luxor","Esna"
211,"studio",143,3,3,3,6430063,"semi finished","Cairo","Dar Al Salam"
212,"duplex",147,2,3,2,4231919,"fully finished","Luxor","Armant"
213,"office",91,2,2,2,1242924,"semi finished","Sharkia","El Qurain"
214,"town house",214,2,1,3,3289424,"fully finished","Fayoum","Fayoum"
215,"shop",297,2,3,1,12933748,"luxury finished","Kafr El Sheikh","Masief Baltim"
216,"duplex",300,1,1,3,6974449,"fully finished","Suez","Ain Sokhna"
217,"duplex",272,1,1,3,2159419,"semi finished","North Sinai","Rafah"
218,"office",260,3,1,3,8429295,"luxury finished","Aswan","Aswan"
219,"town house",242,3,1,2,8439170,"luxury finished","Dakahlia","Nabroh"
220,"town house",281,3,1,2,8698023,"fully finished","Port Said","Aldawahi"
221,"studio",189,2,1,3,2521715,"fully finished","Damietta","Faraskour"
222,"shop",154,1,1,3,11152559,"not finished","Qalyubia","Khosous"
223,"apartment",273,2,1,1,4132367,"semi finished","Cairo","Ataba"
224,"office",84,2,3,3,7027376,"semi finished","Dakahlia","Meet Salsil"
225,"town house",195,2,2,1,12460231,"not finished","Alexandria","Stanley"
226,"apartment",235,1,1,1,4329375,"not finished","Minya","Magagha"
227,"apartment",262,2,3,3,5643347,"luxury finished","Ismailia","Kasasien El Gedida"
228,"studio",296,2,3,2,4677496,"fully finished","Beni Suef","Ehnasia"
229,"apartment",146,3,1,1,1672079,"not finished","Qalyubia","Tukh"
230,"apartment",162,1,3,3,12001128,"not finished","Qena","New Qena"
231,"office",150,2,2,1,8004459,"not finished","Qalyubia","Khanka"
232,"studio",258,2,3,1,5760417,"luxury finished","Sharkia","Hehia"
233,"villa",215,2,2,3,13644743,"fully finished","North Sinai","Bir al-Abed"
234,"apartment",240,2,3,1,2862964,"fully finished","Qena","Qena"
235,"office",124,1,1,3,1212290,"not finished","Sohag","Sohag El Gedida"
236,"duplex",84,1,3,3,4426361,"fully finished","Aswan","Nasr Al Nuba"
237,"studio",100,1,2,3,10232800,"fully finished","Ismailia","Sheikh Zayed"
238,"town house",180,3,2,3,13575804,"fully finished","Sharkia","Minya Al Qamh"
239,"villa",258,3,3,2,10221994,"fully finished","Ismailia","Kasasien El Gedida"
240,"villa",267,3,1,1,10805391,"fully finished","Qalyubia","Tukh"
241,"studio",197,1,1,3,3576985,"fully finished","Dakahlia","Belqas"
242,"shop",109,2,2,2,12366908,"not finished","Minya","Deir Mawas"
243,"town house",221,3,1,2,4838919,"semi finished","Sharkia","Qenaiat"
244,"duplex",188,1,3,1,5766242,"semi finished","South Sinai","Ras Sidr"
245,"duplex",190,2,2,1,7263783,"fully finished","Sharkia","Awlad Saqr"
246,"villa",196,3,2,1,1442214,"semi finished","Assiut","Sidfa"
247,"shop",103,3,3,3,10304688,"not finished","Luxor","Al Tud"
248,"studio",214,3,2,2,12983979,"luxury finished","Beni Suef","Beni Suef El Gedida"
249,"town house",248,1,2,2,6345476,"luxury finished","Suez","Faysal"
250,"studio",232,1,3,2,8553651,"fully finished","Alexandria","Stanley"
381,"shop",86,2,1,3,11334778,"fully finished","Qalyubia","Qalyub"
251,"office",179,2,3,2,9371020,"semi finished","Luxor","New Tiba"
252,"apartment",290,1,2,3,5765941,"semi finished","Aswan","Nasr Al Nuba"
253,"shop",153,2,1,2,12732083,"not finished","Beni Suef","Ehnasia"
254,"villa",262,3,2,2,3465089,"luxury finished","Gharbia","Samannoud"
255,"studio",250,1,3,2,4653327,"luxury finished","Qalyubia","Khosous"
256,"duplex",232,1,3,2,4169050,"semi finished","Assiut","Abu Tig"
257,"duplex",106,3,1,2,3925730,"fully finished","Ismailia","Kasasien El Gedida"
258,"apartment",219,3,2,1,10817915,"luxury finished","Red Sea","Halaib"
259,"shop",195,3,3,2,14928064,"luxury finished","Kafr El Sheikh","Fooh"
260,"apartment",182,1,3,3,5764027,"luxury finished","Cairo","Mansheya Nasir"
261,"duplex",180,2,2,2,7947116,"fully finished","Minya","Meloy"
262,"apartment",197,2,3,2,13526206,"luxury finished","Cairo","Rod Alfarag"
263,"shop",191,3,3,2,11305068,"semi finished","Minya","Samalut"
264,"town house",132,1,1,1,7302800,"luxury finished","Alexandria","Boulkly"
265,"apartment",172,2,3,2,8930149,"not finished","Fayoum","Fayoum El Gedida"
266,"town house",179,1,2,3,8142236,"fully finished","Qena","Alwaqf"
267,"studio",181,3,2,3,9891727,"fully finished","Sharkia","Zagazig"
268,"villa",282,1,2,1,7449531,"fully finished","Luxor","Esna"
269,"apartment",216,3,3,2,10536274,"fully finished","South Sinai","Al Toor"
270,"studio",256,2,1,2,1822587,"not finished","Qena","Quos"
271,"villa",151,2,1,3,7687708,"luxury finished","Minya","Meloy"
272,"studio",264,3,2,2,14207869,"not finished","Qalyubia","Khosous"
273,"shop",130,3,3,1,10017113,"fully finished","Luxor","Al Qarna"
274,"office",276,1,3,1,6059245,"fully finished","Red Sea","Ras Ghareb"
275,"office",88,2,2,1,14474862,"luxury finished","Qalyubia","Shubra Al Khaimah"
276,"studio",228,1,2,2,1667937,"not finished","Alexandria","El Montaza"
277,"duplex",157,3,2,3,2437803,"luxury finished","Matrouh","El Hamam"
278,"villa",109,3,3,2,2817447,"semi finished","Beni Suef","beba"
279,"office",83,1,1,1,13355115,"semi finished","Minya","Deir Mawas"
280,"apartment",207,1,2,2,6360342,"luxury finished","Red Sea","El Qusiar"
281,"duplex",209,2,2,2,7054344,"fully finished","Cairo","Waily"
282,"studio",120,3,2,3,7295063,"semi finished","Gharbia","Tanta"
283,"town house",209,1,3,1,1338321,"semi finished","Qena","Farshout"
284,"office",131,3,3,3,8367324,"semi finished","Luxor","New Tiba"
285,"duplex",260,2,1,1,7435233,"luxury finished","Cairo","Cairo Downtown"
286,"office",239,1,2,3,8820067,"luxury finished","Gharbia","Zefta"
287,"duplex",248,2,1,1,3274560,"semi finished","Matrouh","Siwa"
288,"apartment",98,1,2,2,14590540,"fully finished","Red Sea","Marsa Alam"
289,"apartment",195,3,3,1,2820428,"not finished","New Valley","Mout"
290,"apartment",190,3,1,3,5445950,"semi finished","North Sinai","Arish"
291,"villa",194,1,3,3,8458029,"not finished","Suez","Suez"
292,"villa",113,2,2,1,14225753,"not finished","Ismailia","Nefesha"
293,"apartment",242,2,1,1,12831128,"not finished","Qena","Naqada"
294,"villa",186,1,1,3,14080376,"semi finished","Aswan","Drau"
295,"duplex",237,1,1,3,9336012,"luxury finished","South Sinai","Saint Catherine"
296,"town house",277,2,1,2,3150304,"luxury finished","North Sinai","Al Hasana"
297,"studio",211,1,1,3,8744520,"semi finished","Giza","Al Badrasheen"
298,"shop",193,1,3,2,6459206,"not finished","Fayoum","Etsa"
299,"studio",117,3,2,1,4081489,"semi finished","North Sinai","Arish"
300,"villa",271,1,3,2,4268830,"semi finished","Beheira","Housh Eissa"
1582,"office",282,3,1,2,13114277,"semi finished","North Sinai","Nakhl"
301,"apartment",212,3,3,3,2969297,"semi finished","Red Sea","Hurghada"
302,"villa",114,2,2,3,9179974,"fully finished","Ismailia","Ismailia"
303,"office",284,3,1,2,12980671,"luxury finished","North Sinai","Bir al-Abed"
304,"apartment",247,3,3,2,14700582,"fully finished","Kafr El Sheikh","Burg Al Burullus"
305,"duplex",181,2,2,3,4258171,"not finished","Sohag","Gerga"
306,"office",144,3,3,1,8238935,"fully finished","Suez","Alganayen"
307,"office",224,2,1,2,14211776,"luxury finished","Sohag","Tahta"
308,"town house",156,1,1,1,6622115,"not finished","Menofia","Quesna"
309,"duplex",276,3,3,3,12483304,"luxury finished","Red Sea","Halaib"
310,"office",230,1,1,1,9033015,"fully finished","Beni Suef","Somasta"
311,"shop",140,2,2,3,5850315,"luxury finished","Assiut","Assiut"
312,"duplex",271,2,3,3,8040889,"semi finished","Sohag","Akhmeem"
313,"studio",115,2,2,3,8513610,"fully finished","Red Sea","Hurghada"
314,"shop",257,2,3,1,3686187,"not finished","Kafr El Sheikh","Burg Al Burullus"
315,"villa",284,3,3,3,8966557,"fully finished","Fayoum","Yusuf El Sediaq"
316,"duplex",198,1,2,3,9046033,"semi finished","Suez","Ataqah"
317,"studio",167,3,2,1,2953243,"luxury finished","Sohag","Saqilatuh"
318,"office",159,3,2,2,10161492,"fully finished","Qena","Abu Tesht"
319,"apartment",198,3,1,3,4027572,"fully finished","Beheira","Wadi Natrun"
320,"apartment",198,2,3,2,7743415,"not finished","Ismailia","Qantara Sharq"
321,"town house",181,2,1,2,14238058,"semi finished","Damietta","Kafr El-Batikh"
322,"duplex",199,1,1,1,1063284,"luxury finished","Luxor","Esna"
323,"villa",137,1,3,1,7145444,"semi finished","Giza","Agouza"
324,"villa",220,2,1,3,13668291,"fully finished","Sharkia","El Qurain"
325,"shop",215,1,3,1,3832792,"fully finished","Menofia","Tala"
326,"apartment",81,2,1,1,12053777,"luxury finished","Cairo","El Salam"
327,"town house",136,2,3,3,13122834,"semi finished","North Sinai","Al Hasana"
328,"duplex",165,3,1,2,7082535,"fully finished","Suez","Ain Sokhna"
329,"apartment",176,1,2,3,14883170,"not finished","Sharkia","Hehia"
330,"duplex",254,2,2,3,9446695,"fully finished","Giza","Bin Alsarayat"
331,"studio",194,3,1,2,4914765,"fully finished","Dakahlia","Mahalat Damana"
332,"apartment",148,2,2,1,11828541,"not finished","Cairo","El darrasa"
333,"apartment",97,2,2,1,12979827,"semi finished","Fayoum","Fayoum El Gedida"
334,"villa",290,2,3,1,6161703,"semi finished","North Sinai","Arish"
335,"town house",142,2,1,2,1037385,"not finished","Qalyubia","Qalyub"
336,"shop",92,3,3,1,13877236,"not finished","Matrouh","El Hamam"
337,"apartment",133,1,2,1,7387054,"luxury finished","Port Said","Almanakh"
338,"duplex",230,2,2,3,9434948,"semi finished","Beheira","Housh Eissa"
339,"office",209,1,3,3,6108447,"not finished","Sohag","Albalina"
340,"duplex",210,3,2,3,4745981,"luxury finished","Matrouh","North Coast"
341,"office",244,1,1,1,7292620,"fully finished","Red Sea","El Qusiar"
342,"duplex",199,1,1,1,6837595,"fully finished","North Sinai","Nakhl"
343,"town house",264,3,1,1,12626899,"not finished","Aswan","Aswan El Gedida"
344,"studio",146,1,3,3,7323367,"semi finished","Dakahlia","Aga"
345,"town house",247,2,2,1,11701112,"luxury finished","Aswan","Drau"
346,"duplex",94,1,1,3,6435699,"luxury finished","Fayoum","Snores"
347,"office",238,1,3,2,7639121,"luxury finished","Assiut","Qusiya"
348,"town house",290,1,3,2,12352408,"semi finished","Sharkia","Abu Kabir"
349,"villa",207,3,1,2,4720003,"not finished","Gharbia","Al Mahalla Al Kobra"
350,"apartment",260,2,1,2,13454853,"semi finished","Beheira","Edco"
378,"apartment",272,2,1,1,10583149,"fully finished","Giza","Cheikh Zayed"
351,"apartment",133,1,3,2,4499604,"fully finished","Matrouh","Sidi Brani"
382,"town house",87,1,2,1,5947454,"not finished","Ismailia","Sheikh Zayed"
352,"duplex",153,3,3,3,11663224,"luxury finished","Aswan","Edfu"
3981,"shop",176,1,3,1,4022465,"not finished","New Valley","Paris"
353,"apartment",117,2,1,3,12082531,"semi finished","Luxor","Al Qarna"
383,"shop",192,1,2,1,10168706,"not finished","Port Said","PorSaid"
354,"duplex",169,2,3,1,9284595,"semi finished","Assiut","Sidfa"
355,"apartment",264,2,3,3,11648996,"luxury finished","Alexandria","Glim"
384,"duplex",188,3,2,1,14667342,"not finished","Aswan","Al Basilia"
356,"town house",268,1,2,1,7707281,"luxury finished","Alexandria","Boulkly"
357,"town house",275,3,1,1,13422279,"semi finished","Giza","Dokki"
385,"studio",126,2,1,1,6649529,"not finished","Beheira","Shubrakhit"
